#No.   Fermi energy(eV)   SHC((hbar/e)*S/cm)
   1    -7.000000   -0.64420820E+02
   2    -6.900000   -0.54512826E+02
   3    -6.800000   -0.10187362E+03
   4    -6.700000   -0.10249680E+03
   5    -6.600000   -0.84417228E+02
   6    -6.500000   -0.14811739E+03
   7    -6.400000   -0.15367557E+03
   8    -6.300000   -0.18609261E+03
   9    -6.200000   -0.22599667E+03
  10    -6.100000   -0.20341417E+03
  11    -6.000000   -0.25825261E+03
  12    -5.900000   -0.31999330E+03
  13    -5.800000   -0.32625742E+03
  14    -5.700000   -0.43100629E+03
  15    -5.600000   -0.54163425E+03
  16    -5.500000   -0.64589983E+03
  17    -5.400000   -0.63877582E+03
  18    -5.300000   -0.64159341E+03
  19    -5.200000   -0.68308165E+03
  20    -5.100000   -0.71992871E+03
  21    -5.000000   -0.90840285E+03
  22    -4.900000   -0.93657999E+03
  23    -4.800000   -0.98217028E+03
  24    -4.700000   -0.95187617E+03
  25    -4.600000   -0.11075396E+04
  26    -4.500000   -0.11834585E+04
  27    -4.400000   -0.13401652E+04
  28    -4.300000   -0.13432693E+04
  29    -4.200000   -0.12661510E+04
  30    -4.100000   -0.12995142E+04
  31    -4.000000   -0.13550536E+04
  32    -3.900000   -0.13329058E+04
  33    -3.800000   -0.13589137E+04
  34    -3.700000   -0.13656227E+04
  35    -3.600000   -0.13218376E+04
  36    -3.500000   -0.11316793E+04
  37    -3.400000   -0.73408299E+03
  38    -3.300000   -0.71839257E+03
  39    -3.200000   -0.65061448E+03
  40    -3.100000   -0.64926485E+03
  41    -3.000000   -0.57484460E+03
  42    -2.900000   -0.52496882E+03
  43    -2.800000   -0.51295046E+03
  44    -2.700000   -0.49263553E+03
  45    -2.600000   -0.55700237E+03
  46    -2.500000   -0.55308906E+03
  47    -2.400000   -0.58336739E+03
  48    -2.300000   -0.47214414E+03
  49    -2.200000   -0.43172618E+03
  50    -2.100000   -0.32352987E+03
  51    -2.000000   -0.25580899E+03
  52    -1.900000   -0.26856207E+03
  53    -1.800000   -0.26846334E+03
  54    -1.700000   -0.26319201E+03
  55    -1.600000   -0.26308236E+03
  56    -1.500000   -0.15431687E+03
  57    -1.400000   -0.29373523E+02
  58    -1.300000    0.33864898E+02
  59    -1.200000    0.16392072E+03
  60    -1.100000    0.25101568E+03
  61    -1.000000    0.28505114E+03
  62    -0.900000    0.46638331E+03
  63    -0.800000    0.60776519E+03
  64    -0.700000    0.65784962E+03
  65    -0.600000    0.77984191E+03
  66    -0.500000    0.85840777E+03
  67    -0.400000    0.10667632E+04
  68    -0.300000    0.13355981E+04
  69    -0.200000    0.14480729E+04
  70    -0.100000    0.16027665E+04
  71     0.000000    0.16522162E+04
  72     0.100000    0.16579298E+04
  73     0.200000    0.15191823E+04
  74     0.300000    0.13546122E+04
  75     0.400000    0.12365177E+04
  76     0.500000    0.10521897E+04
  77     0.600000    0.93999229E+03
  78     0.700000    0.86035954E+03
  79     0.800000    0.78560357E+03
  80     0.900000    0.73315146E+03
  81     1.000000    0.65665042E+03
  82     1.100000    0.61999658E+03
  83     1.200000    0.61335192E+03
  84     1.300000    0.54026010E+03
  85     1.400000    0.52909464E+03
  86     1.500000    0.52537830E+03
  87     1.600000    0.49149928E+03
  88     1.700000    0.41467983E+03
  89     1.800000    0.41849296E+03
  90     1.900000    0.38364913E+03
  91     2.000000    0.34496804E+03
  92     2.100000    0.34754010E+03
  93     2.200000    0.37139482E+03
  94     2.300000    0.31332344E+03
  95     2.400000    0.28822847E+03
  96     2.500000    0.28805569E+03
  97     2.600000    0.30017416E+03
  98     2.700000    0.24880263E+03
  99     2.800000    0.23709018E+03
 100     2.900000    0.23446456E+03
 101     3.000000    0.20783671E+03
